phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://agents.kujolang.ai/,home,2026-08-14T20:57:20.522Z,Lighthouse mobile lab run against production,13.4.1,16098,19245,21318,474220,23275,30,6388.144,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0001329017418174848,128,raw/baseline/lighthouse-home.json,"{""performance_score"":38,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":3000,""speed_index_ms"":8367.284531189594,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/,agent directory,2026-08-14T20:57:49.627Z,Lighthouse mobile lab run against production,13.4.1,15945,19251,21872,196714,23266,29,2585.4355000000005,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0004537096146948536,183,raw/baseline/lighthouse-agents.json,"{""performance_score"":93,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":11,""speed_index_ms"":4047.928575657708,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/publishing-house/,Publishing House directory,2026-08-14T20:58:15.731Z,Lighthouse mobile lab run against production,13.4.1,8291,19248,21843,31689,23268,16,1861.2804999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0,80,raw/baseline/lighthouse-publishing-house.json,"{""performance_score"":94,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":5583.1974281614785,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/publisher/,Publishing House agent detail,2026-08-14T20:58:43.163Z,Lighthouse mobile lab run against production,13.4.1,6941,19234,21847,8015,23274,12,1729.007,NOT AVAILABLE — DATA ACCESS REQUIRED,0.001762339583163089,71,raw/baseline/lighthouse-publisher.json,"{""performance_score"":98,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":2833.137172059107,""lab_only"":true}"
after,https://agents.kujolang.ai/,home,2026-08-14T21:28:38.896Z,Lighthouse mobile lab run against production,13.4.1,15970,19201,20727,474465,23272,30,2967.69,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0001329017418174848,173,raw/after/lighthouse-home.json,"{""performance_score"":92,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":150,""speed_index_ms"":2998.0286132796004,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/,agent directory,2026-08-14T21:29:04.399Z,Lighthouse mobile lab run against production,13.4.1,15970,19255,20721,196594,23277,29,1957.8505,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0004537096146948536,112,raw/after/lighthouse-agents.json,"{""performance_score"":97,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":6,""speed_index_ms"":3366.137300783075,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/publishing-house/,Publishing House directory,2026-08-14T21:29:27.924Z,Lighthouse mobile lab run against production,13.4.1,8926,19201,20173,31466,23274,16,1150.691,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0003734888332865787,126,raw/after/lighthouse-publishing-house.json,"{""performance_score"":100,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":1209.0188566800023,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/publisher/,Publishing House agent detail,2026-08-14T21:29:45.873Z,Lighthouse mobile lab run against production,13.4.1,7024,19191,20756,7649,23274,12,1817.1380000000001,NOT AVAILABLE — DATA ACCESS REQUIRED,0.001762339583163089,104,raw/after/lighthouse-publisher.json,"{""performance_score"":98,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":2201.688457087057,""lab_only"":true}"
