phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://agents.kujolang.ai/,home,2026-08-11T16:33:17.900Z,Lighthouse mobile lab run against production,13.4.1,12349,18975,21815,438469,23278,24,3769.534,NOT AVAILABLE — DATA ACCESS REQUIRED,0.000193055569630608,175,raw/baseline/lighthouse-home.json,"{""performance_score"":76,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":306,""speed_index_ms"":6158.423220110612,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/,agent directory,2026-08-11T16:33:44.968Z,Lighthouse mobile lab run against production,13.4.1,12347,18972,21803,57987,23276,16,1948.5149999999999,NOT AVAILABLE — DATA ACCESS REQUIRED,0.006487088555020522,104,raw/baseline/lighthouse-agents.json,"{""performance_score"":97,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":3404.900633352237,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/general-commander/,agent detail,2026-08-11T16:34:10.300Z,Lighthouse mobile lab run against production,13.4.1,6227,18979,21827,27422,23275,12,1871.983,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002917643405628966,129,raw/baseline/lighthouse-agent-detail.json,"{""performance_score"":97,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":3515.884319328722,""lab_only"":true}"
after,https://agents.kujolang.ai/,home,2026-08-11T16:51:17.729Z,Lighthouse mobile lab run against production,13.4.1,12437,19075,21826,437710,23274,24,3741.589,NOT AVAILABLE — DATA ACCESS REQUIRED,0.000193055569630608,177,raw/after/lighthouse-home.json,"{""performance_score"":81,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":203,""speed_index_ms"":4893.5618149690945,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/,agent directory,2026-08-11T16:51:39.736Z,Lighthouse mobile lab run against production,13.4.1,12478,18975,21838,57382,23270,16,1904.1744999999999,NOT AVAILABLE — DATA ACCESS REQUIRED,0.005528983907047681,172,raw/after/lighthouse-agents.json,"{""performance_score"":98,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":2002.089575999567,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/general-commander/,agent detail,2026-08-11T16:52:01.508Z,Lighthouse mobile lab run against production,13.4.1,6257,18978,21797,27448,23271,12,1866.638,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002917643405628966,128,raw/after/lighthouse-agent-detail.json,"{""performance_score"":98,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":3070.63089199923,""lab_only"":true}"
