phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://agents.kujolang.ai/agents/release-verifier/,detail,2026-09-05T14:14:47.909Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,15580,153646,61006,7385,22496,13,1143.7359999999996,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002863139245642295,113,raw/baseline-lighthouse/agents-release-verifier.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 1, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://agents.kujolang.ai/agents/,directory,2026-09-05T14:14:05.626Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,96550,153646,61006,216217,22496,36,1886.6909999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0004537096146948536,102,raw/baseline-lighthouse/agents.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.97, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://agents.kujolang.ai/,home,2026-09-05T14:13:34.478Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,98288,153646,61006,438023,22496,27,1867.2295000000001,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0001329017418174848,119,raw/baseline-lighthouse/home.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.96, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://agents.kujolang.ai/agents/release-verifier/,detail,2026-09-05T15:24:28.947Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/after-lighthouse/agents-release-verifier.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests.""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
after,https://agents.kujolang.ai/agents/,directory,2026-09-05T15:24:05.814Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,96550,153646,61006,216217,22496,36,1820.8680000000004,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0004537096146948536,118,raw/after-lighthouse/agents.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.97, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://agents.kujolang.ai/,home,2026-09-05T15:23:43.866Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/after-lighthouse/home.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
after,https://agents.kujolang.ai/agents/release-verifier/,detail,2026-09-05T15:29:10.646Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,15580,153646,61006,7385,22496,13,1591.6149999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002863139245642295,166,raw/after-retry-lighthouse/agents-release-verifier.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 1, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://agents.kujolang.ai/,home,2026-09-05T15:29:31.801Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,99019,153646,61006,438023,22496,27,3211.6949999999983,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0001329017418174848,72,raw/after-retry-lighthouse/home.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.91, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
