phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://agents.kujolang.ai/,home,2026-08-11T03:48:39.917Z,Lighthouse mobile lab run against production,13.4.1,6878,19277,16880,5078406,23310,17,3189.817,NOT AVAILABLE — DATA ACCESS REQUIRED,0,69,raw/baseline/lighthouse-home.json,"{""performance_score"":87,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":97,""speed_index_ms"":5382.440259506237,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/,agent directory,2026-08-11T03:49:00.662Z,Lighthouse mobile lab run against production,13.4.1,6627,19122,16974,3949942,23314,15,5903.911,NOT AVAILABLE — DATA ACCESS REQUIRED,0,99,raw/baseline/lighthouse-agents.json,"{""performance_score"":76,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":3439.3149115896113,""lab_only"":true}"
baseline,https://agents.kujolang.ai/agents/core-developer/,agent detail,2026-08-11T03:49:22.298Z,Lighthouse mobile lab run against production,13.4.1,4379,19119,17086,181437,23315,11,2595.998,NOT AVAILABLE — DATA ACCESS REQUIRED,0.1367540378872827,103,raw/baseline/lighthouse-agent-detail.json,"{""performance_score"":91,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":2594.598318000075,""lab_only"":true}"
after,https://agents.kujolang.ai/,home,2026-08-11T04:10:26.660Z,Lighthouse mobile lab run against production,13.4.1,6845,19177,16905,402186,23256,17,3210.2375,NOT AVAILABLE — DATA ACCESS REQUIRED,0.000193055569630608,217,raw/after/lighthouse-home.json,"{""performance_score"":90,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":162,""speed_index_ms"":2473.798484346589,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/,agent directory,2026-08-11T04:05:39.209Z,Lighthouse mobile lab run against production,13.4.1,6672,19153,17082,99203,23264,15,1891.3400000000001,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0005532716981251614,242,raw/after/lighthouse-agents.json,"{""performance_score"":94,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":5506.183169812288,""lab_only"":true}"
after,https://agents.kujolang.ai/agents/core-developer/,agent detail,2026-08-11T04:06:03.542Z,Lighthouse mobile lab run against production,13.4.1,4456,19158,17065,19235,23260,11,1739.8915000000002,NOT AVAILABLE — DATA ACCESS REQUIRED,0.002894827710750825,117,raw/after/lighthouse-agent-detail.json,"{""performance_score"":96,""seo_score"":100,""accessibility_score"":100,""best_practices_score"":100,""total_blocking_time_ms"":0,""speed_index_ms"":4278.62624335097,""lab_only"":true}"
